user_id,money
41953,3000
41953,3000
41953,30000
126735,30000
25070,3000
25070,3000
135,3000
41953,20000
8166,3000
135,20000
41953,20000
135,20000
7561,30000
41953,20000
135,10000
6721,30000
11808,10000
135,20000
143199,10000
2564,30000
2564,20000
15491,20000
2564,30000
21701,30000
2564,30000
482442,20000
21701,30000
123,10000
2564,30000
143199,10000
65955,30000
3786,20000
12486,30000
12393,20000
4795,30000
123,30000
15491,10000
41953,30000
143199,30000
123,10000
596284,30000
3786,30000
12486,30000
12393,10000
37953,30000
6721,30000
6721,30000
12393,30000
12486,30000
12486,30000
123,30000
21701,30000
2564,30000
7561,30000
135,30000
15808,20000
15491,20000
21701,30000
4795,30000
21701,30000
12486,30000
3257,30000
123,20000
12486,30000
21701,30000
135,20000
21701,20000
12393,30000
21701,30000
4795,30000
65955,30000
6721,30000
9739,13000
135,10000
143199,30000
12486,30000
41953,30000
11808,3000
41953,30000
143199,30000
3786,30000
126735,30000
135,30000
123,30000
51355,30000
10900,10000
12393,30000
15808,30000
123,30000
41953,30000
21701,10000
41953,30000
839,30000
3630,30000
126735,30000
50565,10000
382,30000
21701,30000
9723,3000
143199,30000
1739,10000
143199,30000
123,30000
10900,30000
8166,30000
8166,20000
4795,30000
149376,3000
46513,30000
3786,30000
29615,30000
24669,10000
12486,30000
2564,30000
94448,3000
123,10000
27913,30000
21701,30000
8166,10000
126735,20000
3630,30000
21701,30000
1739,30000
12486,30000
2564,10000
12393,10000
126735,20000
3786,30000
123,30000
354,30000
41953,30000
3786,30000
143199,30000
213,30000
41953,20000
12486,20000
3257,30000
135,20000
8166,30000
4795,30000
42421,30000
3257,30000
15808,30000
7561,30000
12169,30000
65955,20000
2564,30000
1739,30000
31027,30000
123,30000
3257,30000
12486,30000
123,30000
8166,30000
126735,20000
12486,30000
52406,30000
12393,10000
12393,30000
7561,30000
12393,10000
3630,30000
12393,10000
10900,30000
12486,30000
55584,30000
1739,30000
174,10000
65955,20000
12486,30000
65955,20000
34734,30000
12486,30000
2117,30000
41953,30000
46513,10000
41953,30000
65955,20000
4795,30000
41953,30000
123,30000
213,30000
12393,30000
10371,30000
4795,10000
12393,30000
12486,30000
41953,30000
12486,20000
135,15000
135,15000
12486,30000
4795,10000
4795,10000
1739,30000
126735,3000
21701,30000
10371,30000
6721,30000
174,20000
41953,30000
123,30000
41953,3000
21701,30000
174,30000
174,30000
34734,20000
135,30000
12486,20000
123,30000
839,3000
8166,30000
174,30000
15808,30000
11808,3000
41953,1000
839,3000
8166,30000
2564,30000
4795,30000
6721,30000
839,3000
8166,30000
41953,3000
839,3000
126735,30000
11808,3000
174,30000
839,3000
839,3000
10900,30000
839,3000
8166,3000
839,3000
41953,20000
12393,10000
41953,30000
135,3000
41953,30000
135,20000
18390,20000
11808,3000
135,3000
11808,3000
41953,2000
11808,3000
174,30000
41953,3000
135,3000
143199,30000
11808,3000
1739,30000
12393,30000
12393,30000
839,3000
123,30000
839,3000
174,30000
174,30000
126735,10000
2453,30000
21701,30000
9099,3000
143199,3000
174,3000
52406,3000
21701,3000
25997,3000
100521,3000
123,3000
21701,30000
143199,3000
12486,30000
21701,3000
52406,3000
25070,3000
123,3000
340855,3000
9099,3000
142660,3000
149376,1000
8166,3000
266462,3000
9723,3000
10900,3000
135,3000
6721,3000
52406,3000
143199,30000
12486,3000
839,3000
6721,3000
10900,1000
6721,3000
25070,3000
123,3000
143199,3000
11808,3000
266462,3000
8342,3000
12486,3000
266462,3000
382,3000
123,3000
10900,3000
11808,3000
12486,3000
367937,3000
12486,3000
10900,3000
123,3000
142660,3000
12486,3000
149376,3000
180468,3000
8166,3000
123,3000
6721,3000
44455,3000
6721,3000
10900,3000
10900,1000
149376,3000
123,3000
30908,3000
8166,3000
24550,3000
123,3000
10900,3000
52406,3000
11808,3000
123,3000
15491,3000
143199,3000
149376,3000
9847,30000
367937,3000
6721,3000
11808,30000
266462,3000
123,3000
44455,3000
8342,3000
126735,10000
44455,3000
143199,3000
10900,3000
143199,30000
21701,3000
121957,3000
6721,3000
123,3000
180468,1000
367937,3000
123,3000
21701,3000
135,25000
367937,3000
11808,3000
15956,3000
6721,30000
2564,10000
21701,3000
143199,3000
8166,3000
839,3000
15808,30000
123,3000
143199,3000
135,3000
15491,3000
266462,3000
10900,3000
261010,30000
661653,1000
142660,3000
10900,30000
