User_ID,Money,ResMoney,Times,ExID1,Money1,ExID1,Money2,ExID3,Money3,ExID4,Money4,ExID5,Money5
30012,44000,0,2,16335,14000,806873,30000
20729,50900,0,6,466495,30000,981,10000,376171,3000,544338,3000,790168,3000,806516,1900
27739,36000,0,3,135,30000,228405,3000,370431,3000
28623,41000,0,3,482002,30000,37953,1000,12393,10000
19943,51000,0,4,285216,30000,21701,15000,21701,3000,53552,3000
32257,24000,0,3,795727,20000,839,1000,805967,3000
160952,24000,0,3,21701,20000,1005,1000,262462,3000
7366,51000,0,6,134532,30000,784984,10000,367524,3000,582789,3000,152603,2000,805203,3000
540991,3900,0,4,171848,3000,135,300,11808,300,21701,300
491554,24000,0,3,15808,20000,229973,1000,180430,3000
167355,37000,0,4,208206,30000,798214,3000,170951,1000,797194,3000
83926,37000,0,4,650649,30000,180089,3000,261010,1000,797540,3000
507315,36000,0,3,6721,30000,839,3000,62306,3000
24647,51000,0,4,806935,30000,135,15000,10900,3000,423090,3000
59271,38000,0,4,86061,30000,45530,3000,672732,2000,434401,3000
53568,41800,0,3,601902,30000,10900,10000,540275,1800
118747,35400,0,3,143199,30000,644136,3000,103451,2400
100988,36000,0,3,174,30000,123,3000,528416,3000
71214,36000,0,3,174,30000,8166,3000,265959,3000
495029,36000,0,3,6721,30000,294585,3000,18819,3000
496032,36000,0,3,174,30000,11002,3000,10645,3000
124617,35800,0,3,4795,30000,769274,3000,18846,2800
102138,36000,0,3,123,30000,3257,3000,758685,3000
501253,36000,0,3,40785,30000,653715,3000,562417,3000
54105,49600,0,6,285098,30000,786332,10000,229797,3000,538125,3000,358582,3000,83365,600
142717,36000,0,3,201,30000,8166,3000,272491,3000
497851,36000,0,3,12486,30000,53509,3000,795376,3000
68257,36000,0,3,12486,30000,10900,3000,795169,3000
499348,36000,0,3,7561,30000,6721,3000,256249,3000
182324,3900,0,4,451425,3000,135,300,10371,300,503134,300
42277,36000,0,3,21701,30000,8342,3000,593491,3000
173832,36000,0,3,174,30000,143199,3000,228923,3000
220402,36000,0,3,201,30000,11002,3000,210758,3000
500929,36000,0,3,65955,30000,12486,3000,560074,3000
200268,36000,0,3,21701,30000,266462,3000,228653,3000
204677,36000,0,3,114702,30000,340855,3000,503763,3000
237406,36000,0,3,46513,30000,52406,3000,421357,3000
461154,36000,0,3,11002,30000,52406,3000,124522,3000
248106,37500,0,4,15808,30000,267480,3000,223879,3000,430379,1500
483310,36000,0,3,15847,30000,123,3000,170739,3000
378048,36000,0,3,41928,30000,10900,3000,19194,3000
245689,36000,0,3,108226,30000,3257,3000,545927,3000
39119,51000,0,4,21701,30000,201,10000,59314,1000,4795,10000
264539,36000,0,3,355110,30000,123,3000,631915,3000
380606,36000,0,3,50381,30000,266462,3000,199820,3000
376834,36000,0,3,763043,30000,244728,3000,110421,3000
197778,36000,0,3,359924,30000,10900,3000,785886,3000
497481,36000,0,3,42065,30000,25070,3000,376052,3000
315571,36000,0,3,325694,30000,340855,3000,114123,3000
371707,36000,0,3,376085,30000,21701,3000,339636,3000
53705,36000,0,3,11326,30000,11002,3000,546929,3000
495840,24000,0,3,482442,20000,180468,1000,618876,3000
35078,36000,0,3,329613,30000,568506,3000,189942,3000
172768,4500,0,2,346085,3000,131157,1500
178374,38000,0,4,509443,30000,498140,3000,3257,2000,273450,3000
259521,36000,0,3,135801,30000,123,3000,668243,3000
133803,36000,0,3,371373,30000,682806,3000,545672,3000
245211,36000,0,3,317079,30000,839,3000,787881,3000
278734,24000,0,3,135,20000,10900,1000,631420,3000
60539,36000,0,3,334425,30000,100521,3000,496843,3000
497613,12000,0,2,662301,2000,143199,10000
96573,44200,0,4,252460,30000,605908,10000,321831,3000,784824,1200
415400,3900,0,4,80994,3000,135,300,89569,300,21701,300
86641,36000,0,3,247134,30000,3257,3000,366793,3000
190003,38400,0,4,174133,30000,296236,3000,359291,3000,658005,2400
307649,36000,0,3,321097,30000,143199,3000,788673,3000
259274,37600,0,4,751965,30000,795796,3000,125937,3000,435449,1600
