User_ID,Money,ResMoney,Times,ExID1,Money1,ExID1,Money2,ExID3,Money3,ExID4,Money4,ExID5,Money5
41953,3000,0,1,588344,3000
41953,3000,0,1,39704,3000
41953,30000,0,1,148721,30000
126735,30000,0,1,610466,30000
25070,3000,0,1,544851,3000
25070,3000,0,1,187611,3000
135,3000,0,1,507599,3000
41953,20000,0,1,10018,20000
8166,3000,0,1,604726,3000
135,20000,0,1,2477,20000
41953,20000,0,1,144035,20000
135,20000,0,1,62424,20000
7561,30000,0,1,354651,30000
41953,20000,0,1,58887,20000
135,10000,0,1,48632,10000
6721,30000,0,1,497510,30000
11808,10000,0,1,241790,10000
135,20000,0,1,35247,20000
143199,10000,0,1,29089,10000
2564,30000,0,1,527947,30000
2564,20000,0,1,107101,20000
15491,20000,0,1,18799,20000
2564,30000,0,1,221290,30000
21701,30000,0,1,615210,30000
2564,30000,0,1,522136,30000
482442,20000,0,1,495840,20000
21701,30000,0,1,124987,30000
123,10000,0,1,443333,10000
2564,30000,0,1,276504,30000
143199,10000,0,1,497613,10000
65955,30000,0,1,591494,30000
3786,20000,0,1,305453,20000
12486,30000,0,1,271906,30000
12393,20000,0,1,514391,20000
4795,30000,0,1,325445,30000
123,30000,0,1,399389,30000
15491,10000,0,1,119605,10000
41953,30000,0,1,388291,30000
143199,30000,0,1,10218,30000
123,10000,0,1,23979,10000
596284,30000,0,1,524046,30000
3786,30000,0,1,411177,30000
12486,30000,0,1,533541,30000
12393,10000,0,1,10946,10000
37953,30000,0,1,353102,30000
6721,30000,0,1,162757,30000
6721,30000,0,1,609526,30000
12393,30000,0,1,425126,30000
12486,30000,0,1,352674,30000
12486,30000,0,1,132928,30000
123,30000,0,1,230099,30000
21701,30000,0,1,451356,30000
2564,30000,0,1,369255,30000
7561,30000,0,1,405093,30000
135,30000,0,1,230442,30000
15808,20000,0,1,491554,20000
15491,20000,0,1,182034,20000
21701,30000,0,1,312009,30000
4795,30000,0,1,415215,30000
21701,30000,0,1,193309,30000
12486,30000,0,1,207627,30000
3257,30000,0,1,452363,30000
123,20000,0,1,236756,20000
12486,30000,0,1,242837,30000
21701,30000,0,1,277732,30000
135,20000,0,1,278734,20000
21701,20000,0,1,160952,20000
12393,30000,0,1,382314,30000
21701,30000,0,1,548365,30000
4795,30000,0,1,168188,30000
65955,30000,0,1,79933,30000
6721,30000,0,1,462572,30000
9739,13000,0,1,42963,13000
135,10000,0,1,507526,10000
143199,30000,0,1,178606,30000
12486,30000,0,1,400668,30000
41953,30000,0,1,316942,30000
11808,3000,0,1,284092,3000
41953,30000,0,1,359924,30000
143199,30000,0,1,306560,30000
3786,30000,0,1,309131,30000
126735,30000,0,1,354532,30000
135,30000,0,1,259454,30000
123,30000,0,1,16482,30000
51355,30000,0,1,55429,30000
10900,10000,0,1,62424,10000
12393,30000,0,1,226043,30000
15808,30000,0,1,248106,30000
123,30000,0,1,203821,30000
41953,30000,0,1,45033,30000
21701,10000,0,1,110602,10000
41953,30000,0,1,167235,30000
839,30000,0,1,130757,30000
3630,30000,0,1,49647,30000
126735,30000,0,1,47952,30000
50565,10000,0,1,364522,10000
382,30000,0,1,40614,30000
21701,30000,0,1,39119,30000
9723,3000,0,1,312009,3000
143199,30000,0,1,6613,30000
1739,10000,0,1,2477,10000
143199,30000,0,1,76,30000
123,30000,0,1,76,30000
10900,30000,0,1,76,30000
8166,30000,0,1,185198,30000
8166,20000,0,1,365918,20000
4795,30000,0,1,76,30000
149376,3000,0,1,473326,3000
46513,30000,0,1,515,30000
3786,30000,0,1,125221,30000
29615,30000,0,1,57073,30000
24669,10000,0,1,80361,10000
12486,30000,0,1,87965,30000
2564,30000,0,1,6674,30000
94448,3000,0,1,290011,3000
123,10000,0,1,25373,10000
27913,30000,0,1,120363,30000
21701,30000,0,1,46344,30000
8166,10000,0,1,32480,10000
126735,20000,0,1,538854,20000
3630,30000,0,1,115606,30000
21701,30000,0,1,15374,30000
1739,30000,0,1,28233,30000
12486,30000,0,1,28812,30000
2564,10000,0,1,41781,10000
12393,10000,0,1,18799,10000
126735,20000,0,1,203898,20000
3786,30000,0,1,135896,30000
123,30000,0,1,133908,30000
354,30000,0,1,89358,30000
41953,30000,0,1,65831,30000
